26/09/2023 02:02:00 | Info | User | Fropops-4e82acae-b625-442f-a0f2-e35ce39a3e62 | G4LB4BGF2V | Command tasked to agent : Whoami
26/09/2023 02:02:12 | Info | User | Fropops-4e82acae-b625-442f-a0f2-e35ce39a3e62 | G4LB4BGF2V | Command tasked to agent : Shell
26/09/2023 02:02:27 | Info | User | Fropops-4e82acae-b625-442f-a0f2-e35ce39a3e62 | G4LB4BGF2V | Command tasked to agent : Shell
26/09/2023 02:02:45 | Info | User | Fropops-4e82acae-b625-442f-a0f2-e35ce39a3e62 | G4LB4BGF2V | Command tasked to agent : Shell
26/09/2023 02:02:55 | Info | User | Fropops-4e82acae-b625-442f-a0f2-e35ce39a3e62 | G4LB4BGF2V | Command tasked to agent : Shell
26/09/2023 02:03:08 | Info | User | Fropops-4e82acae-b625-442f-a0f2-e35ce39a3e62 | G4LB4BGF2V | Command tasked to agent : Shell
26/09/2023 02:03:09 | Info | User | Fropops-4e82acae-b625-442f-a0f2-e35ce39a3e62 | G4LB4BGF2V | Command tasked to agent : Shell
26/09/2023 02:03:09 | Info | User | Fropops-4e82acae-b625-442f-a0f2-e35ce39a3e62 | G4LB4BGF2V | Command tasked to agent : Shell
26/09/2023 02:03:09 | Info | User | Fropops-4e82acae-b625-442f-a0f2-e35ce39a3e62 | G4LB4BGF2V | Command tasked to agent : Shell
26/09/2023 02:03:10 | Info | User | Fropops-4e82acae-b625-442f-a0f2-e35ce39a3e62 | G4LB4BGF2V | Command tasked to agent : Shell
26/09/2023 02:03:10 | Info | User | Fropops-4e82acae-b625-442f-a0f2-e35ce39a3e62 | G4LB4BGF2V | Command tasked to agent : Shell
26/09/2023 02:03:10 | Info | User | Fropops-4e82acae-b625-442f-a0f2-e35ce39a3e62 | G4LB4BGF2V | Command tasked to agent : Shell
26/09/2023 02:03:11 | Info | User | Fropops-4e82acae-b625-442f-a0f2-e35ce39a3e62 | G4LB4BGF2V | Command tasked to agent : Shell
26/09/2023 02:03:11 | Info | User | Fropops-4e82acae-b625-442f-a0f2-e35ce39a3e62 | G4LB4BGF2V | Command tasked to agent : Shell
26/09/2023 02:03:12 | Info | User | Fropops-4e82acae-b625-442f-a0f2-e35ce39a3e62 | G4LB4BGF2V | Command tasked to agent : Shell
26/09/2023 02:03:45 | Info | User | Fropops-4e82acae-b625-442f-a0f2-e35ce39a3e62 | G4LB4BGF2V | Command tasked to agent : Shell
26/09/2023 02:03:45 | Info | User | Fropops-4e82acae-b625-442f-a0f2-e35ce39a3e62 | G4LB4BGF2V | Command tasked to agent : Shell
26/09/2023 02:03:46 | Info | User | Fropops-4e82acae-b625-442f-a0f2-e35ce39a3e62 | G4LB4BGF2V | Command tasked to agent : Shell
26/09/2023 02:03:46 | Info | User | Fropops-4e82acae-b625-442f-a0f2-e35ce39a3e62 | G4LB4BGF2V | Command tasked to agent : Shell
26/09/2023 02:03:47 | Info | User | Fropops-4e82acae-b625-442f-a0f2-e35ce39a3e62 | G4LB4BGF2V | Command tasked to agent : Shell
26/09/2023 02:05:41 | Info | User | Fropops-4e82acae-b625-442f-a0f2-e35ce39a3e62 | W8T3QQ2UBW | Command tasked to agent : Shell
26/09/2023 02:05:41 | Info | User | Fropops-4e82acae-b625-442f-a0f2-e35ce39a3e62 | W8T3QQ2UBW | Command tasked to agent : Shell
26/09/2023 02:05:42 | Info | User | Fropops-4e82acae-b625-442f-a0f2-e35ce39a3e62 | W8T3QQ2UBW | Command tasked to agent : Shell
26/09/2023 02:05:42 | Info | User | Fropops-4e82acae-b625-442f-a0f2-e35ce39a3e62 | W8T3QQ2UBW | Command tasked to agent : Shell
26/09/2023 02:05:42 | Info | User | Fropops-4e82acae-b625-442f-a0f2-e35ce39a3e62 | W8T3QQ2UBW | Command tasked to agent : Shell
26/09/2023 02:05:43 | Info | User | Fropops-4e82acae-b625-442f-a0f2-e35ce39a3e62 | W8T3QQ2UBW | Command tasked to agent : Shell
26/09/2023 02:05:56 | Info | User | Fropops-4e82acae-b625-442f-a0f2-e35ce39a3e62 | W8T3QQ2UBW | Command tasked to agent : Shell
26/09/2023 02:05:56 | Info | User | Fropops-4e82acae-b625-442f-a0f2-e35ce39a3e62 | W8T3QQ2UBW | Command tasked to agent : Shell
26/09/2023 02:07:34 | Info | User | Fropops-4e82acae-b625-442f-a0f2-e35ce39a3e62 | W8T3QQ2UBW | Command tasked to agent : Exit
26/09/2023 11:00:39 | Info | User | Fropops-4e82acae-b625-442f-a0f2-e35ce39a3e62 | O4EP0K8USL | Command tasked to agent : Pwd
26/09/2023 11:18:25 | Info | User | Fropops-4e82acae-b625-442f-a0f2-e35ce39a3e62 | VFZ80RJCFY | Command tasked to agent : Pwd
26/09/2023 11:18:30 | Info | User | Fropops-4e82acae-b625-442f-a0f2-e35ce39a3e62 | VFZ80RJCFY | Command tasked to agent : Cd
26/09/2023 11:18:37 | Info | User | Fropops-4e82acae-b625-442f-a0f2-e35ce39a3e62 | VFZ80RJCFY | Command tasked to agent : Cd
26/09/2023 11:18:46 | Info | User | Fropops-4e82acae-b625-442f-a0f2-e35ce39a3e62 | VFZ80RJCFY | Command tasked to agent : Cd
26/09/2023 11:18:55 | Info | User | Fropops-4e82acae-b625-442f-a0f2-e35ce39a3e62 | VFZ80RJCFY | Command tasked to agent : Exit
26/09/2023 11:22:27 | Info | User | Fropops-4e82acae-b625-442f-a0f2-e35ce39a3e62 | B8DA3AG6L0 | Command tasked to agent : Pwd
26/09/2023 11:22:33 | Info | User | Fropops-4e82acae-b625-442f-a0f2-e35ce39a3e62 | B8DA3AG6L0 | Command tasked to agent : Cd
26/09/2023 11:22:48 | Info | User | Fropops-4e82acae-b625-442f-a0f2-e35ce39a3e62 | B8DA3AG6L0 | Command tasked to agent : Cd
26/09/2023 11:22:56 | Info | User | Fropops-4e82acae-b625-442f-a0f2-e35ce39a3e62 | B8DA3AG6L0 | Command tasked to agent : Ls
26/09/2023 11:23:02 | Info | User | Fropops-4e82acae-b625-442f-a0f2-e35ce39a3e62 | B8DA3AG6L0 | Command tasked to agent : Shell
