17/01/2024 05:07:28 | Info | User | Fropops-508a8fcf-5710-4ee3-b4dc-4ed82162784b |  | Connexion to TeamServer
17/01/2024 05:07:30 | Info | User | Fropops-508a8fcf-5710-4ee3-b4dc-4ed82162784b |  | Connexion to TeamServer
17/01/2024 05:22:48 | Info | User | Fropops-508a8fcf-5710-4ee3-b4dc-4ed82162784b |  | Exit TeamServer
17/01/2024 05:23:12 | Info | User | Fropops-50e40789-eb08-40f8-9424-fe83161e38a3 |  | Connexion to TeamServer
17/01/2024 05:23:13 | Info | User | Fropops-50e40789-eb08-40f8-9424-fe83161e38a3 |  | Connexion to TeamServer
17/01/2024 06:06:12 | Info | User | Fropops-50e40789-eb08-40f8-9424-fe83161e38a3 |  | Exit TeamServer
17/01/2024 06:06:39 | Info | User | Fropops-2215b356-3136-4381-9c4a-fe4350197207 |  | Connexion to TeamServer
17/01/2024 06:06:40 | Info | User | Fropops-2215b356-3136-4381-9c4a-fe4350197207 |  | Connexion to TeamServer
17/01/2024 06:07:47 | Info | User | Fropops-2215b356-3136-4381-9c4a-fe4350197207 |  | Exit TeamServer
17/01/2024 06:08:46 | Info | User | Fropops-d9762449-9f76-4e08-94ae-28c4ec32ae7e |  | Connexion to TeamServer
17/01/2024 06:08:47 | Info | User | Fropops-d9762449-9f76-4e08-94ae-28c4ec32ae7e |  | Connexion to TeamServer
17/01/2024 06:10:24 | Info | User | Fropops-d9762449-9f76-4e08-94ae-28c4ec32ae7e |  | Exit TeamServer
17/01/2024 06:10:32 | Info | User | Fropops-e1882da7-49a5-4196-9058-515ba9d1b8d8 |  | Connexion to TeamServer
17/01/2024 06:10:34 | Info | User | Fropops-e1882da7-49a5-4196-9058-515ba9d1b8d8 |  | Connexion to TeamServer
17/01/2024 06:12:09 | Info | User | Fropops-e1882da7-49a5-4196-9058-515ba9d1b8d8 |  | Exit TeamServer
17/01/2024 06:12:23 | Info | User | Fropops-ebbfb22c-e803-4204-ae8d-a90b220ffa15 |  | Connexion to TeamServer
17/01/2024 06:12:24 | Info | User | Fropops-ebbfb22c-e803-4204-ae8d-a90b220ffa15 |  | Connexion to TeamServer
17/01/2024 06:14:23 | Info | User | Fropops-ebbfb22c-e803-4204-ae8d-a90b220ffa15 |  | Exit TeamServer
17/01/2024 06:14:34 | Info | User | Fropops-40ce9dd0-d333-4c98-a36c-538b2bddca51 |  | Connexion to TeamServer
17/01/2024 06:14:35 | Info | User | Fropops-40ce9dd0-d333-4c98-a36c-538b2bddca51 |  | Connexion to TeamServer
17/01/2024 07:49:02 | Info | User | Fropops-40ce9dd0-d333-4c98-a36c-538b2bddca51 |  | Exit TeamServer
17/01/2024 07:49:21 | Info | User | Fropops-147ebb2d-0ecd-4526-b703-0afc793f6642 |  | Connexion to TeamServer
17/01/2024 07:49:22 | Info | User | Fropops-147ebb2d-0ecd-4526-b703-0afc793f6642 |  | Connexion to TeamServer
17/01/2024 07:52:44 | Info | User | Fropops-147ebb2d-0ecd-4526-b703-0afc793f6642 |  | Exit TeamServer
17/01/2024 07:52:58 | Info | User | Fropops-5a282afe-018d-4726-b37b-2e57b8c8bd9c |  | Connexion to TeamServer
17/01/2024 07:52:59 | Info | User | Fropops-5a282afe-018d-4726-b37b-2e57b8c8bd9c |  | Connexion to TeamServer
17/01/2024 07:54:30 | Info | User | Fropops-5a282afe-018d-4726-b37b-2e57b8c8bd9c |  | Exit TeamServer
17/01/2024 07:55:08 | Info | User | Fropops-827b3064-afb7-4d2a-bf94-f2b2cbd2d35f |  | Connexion to TeamServer
17/01/2024 07:55:09 | Info | User | Fropops-827b3064-afb7-4d2a-bf94-f2b2cbd2d35f |  | Connexion to TeamServer
17/01/2024 07:56:34 | Info | User | Fropops-827b3064-afb7-4d2a-bf94-f2b2cbd2d35f |  | Exit TeamServer
17/01/2024 07:56:46 | Info | User | Fropops-eff93157-ca24-4df2-9120-f0e92b6db497 |  | Connexion to TeamServer
17/01/2024 07:56:47 | Info | User | Fropops-eff93157-ca24-4df2-9120-f0e92b6db497 |  | Connexion to TeamServer
17/01/2024 07:59:42 | Info | User | Fropops-eff93157-ca24-4df2-9120-f0e92b6db497 |  | Exit TeamServer
17/01/2024 08:00:22 | Info | User | Fropops-ff0da3bd-fc09-477c-a36f-27af4e15e30c |  | Connexion to TeamServer
17/01/2024 08:00:23 | Info | User | Fropops-ff0da3bd-fc09-477c-a36f-27af4e15e30c |  | Connexion to TeamServer
17/01/2024 08:01:34 | Info | User | Fropops-ff0da3bd-fc09-477c-a36f-27af4e15e30c |  | Exit TeamServer
17/01/2024 08:01:46 | Info | User | Fropops-f8a27dcd-b49e-41aa-b4e3-81f83e0b4b0d |  | Connexion to TeamServer
17/01/2024 08:01:47 | Info | User | Fropops-f8a27dcd-b49e-41aa-b4e3-81f83e0b4b0d |  | Connexion to TeamServer
