24/08/2023 02:12:11 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 50c7297b80 | Command tasked to agent : Cd
24/08/2023 02:12:31 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 50c7297b80 | Command tasked to agent : Cd
24/08/2023 02:13:40 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 50c7297b80 | Command tasked to agent : Assembly
24/08/2023 02:15:36 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 50c7297b80 | Command tasked to agent : Shell
24/08/2023 02:16:17 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 50c7297b80 | Command tasked to agent : Shell
24/08/2023 02:18:14 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 19629a2b79 | Command tasked to agent : Assembly
24/08/2023 02:18:38 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 19629a2b79 | Command tasked to agent : Assembly
24/08/2023 02:19:04 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 50c7297b80 | Command tasked to agent : Assembly
24/08/2023 02:20:00 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 50c7297b80 | Command tasked to agent : Ls
24/08/2023 02:20:20 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 50c7297b80 | Command tasked to agent : Download
24/08/2023 02:50:47 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | aed23ac9fd | Command tasked to agent : Ls
24/08/2023 02:51:04 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | aed23ac9fd | Command tasked to agent : Cd
24/08/2023 02:51:13 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | aed23ac9fd | Command tasked to agent : Powershell
24/08/2023 02:55:40 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | aed23ac9fd | Command tasked to agent : Assembly
24/08/2023 02:56:35 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | aed23ac9fd | Command tasked to agent : Assembly
24/08/2023 02:56:51 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | aed23ac9fd | Command tasked to agent : Assembly
24/08/2023 02:57:13 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | aed23ac9fd | Command tasked to agent : Assembly
24/08/2023 02:59:49 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | aed23ac9fd | Command tasked to agent : Powershell
24/08/2023 03:00:01 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | aed23ac9fd | Command tasked to agent : Assembly
24/08/2023 03:00:58 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 50c7297b80 | Command tasked to agent : Shell
24/08/2023 03:01:05 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 50c7297b80 | Command tasked to agent : Shell
24/08/2023 03:02:46 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | aed23ac9fd | Command tasked to agent : Powershell
24/08/2023 03:02:56 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | aed23ac9fd | Command tasked to agent : Powershell
24/08/2023 03:03:25 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | aed23ac9fd | Command tasked to agent : Powershell
24/08/2023 03:05:27 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | aed23ac9fd | Command tasked to agent : Powershell
24/08/2023 03:06:15 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | aed23ac9fd | Command tasked to agent : PowershellImport
24/08/2023 03:06:53 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | aed23ac9fd | Command tasked to agent : Powershell
24/08/2023 03:08:16 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | aed23ac9fd | Command tasked to agent : Powershell
24/08/2023 03:08:45 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | aed23ac9fd | Command tasked to agent : Powershell
