25/08/2023 02:50:40 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 05b51ed2e3 | Command tasked to agent : Script
25/08/2023 02:51:13 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 05b51ed2e3 | Command tasked to agent : Whoami
25/08/2023 02:51:35 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 05b51ed2e3 | Command tasked to agent : Ls
25/08/2023 02:52:33 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 05b51ed2e3 | Command tasked to agent : Winrm
25/08/2023 02:54:10 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | ef7a8184ad | Command tasked to agent : Shell
25/08/2023 02:54:18 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | ef7a8184ad | Command tasked to agent : Cd
25/08/2023 02:54:22 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | ef7a8184ad | Command tasked to agent : Ls
25/08/2023 02:56:16 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 05b51ed2e3 | Command tasked to agent : Exit
25/08/2023 02:56:51 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 05b51ed2e3 | Command tasked to agent : ForkAndRun
25/08/2023 02:57:26 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | ef7a8184ad | Command tasked to agent : ForkAndRun
25/08/2023 02:57:43 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | ef7a8184ad | Command tasked to agent : ListProcess
25/08/2023 03:39:30 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 7f0676fe10 | Command tasked to agent : PowershellImport
25/08/2023 03:39:51 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 7f0676fe10 | Command tasked to agent : Powershell
25/08/2023 03:40:17 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 7f0676fe10 | Command tasked to agent : Powershell
25/08/2023 03:40:27 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 7f0676fe10 | Command tasked to agent : Powershell
25/08/2023 03:40:51 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 7f0676fe10 | Command tasked to agent : Powershell
25/08/2023 03:41:10 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 7f0676fe10 | Command tasked to agent : Powershell
25/08/2023 03:41:22 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 7f0676fe10 | Command tasked to agent : Script
25/08/2023 03:42:58 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 7f0676fe10 | Command tasked to agent : Powershell
25/08/2023 03:43:13 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 7f0676fe10 | Command tasked to agent : Powershell
25/08/2023 03:43:25 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 7f0676fe10 | Command tasked to agent : Script
25/08/2023 03:43:52 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 86ffe924ac | Command tasked to agent : PowershellImport
25/08/2023 03:43:59 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 86ffe924ac | Command tasked to agent : Powershell
25/08/2023 03:44:26 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 86ffe924ac | Command tasked to agent : Powershell
25/08/2023 03:45:37 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 86ffe924ac | Command tasked to agent : Powershell
25/08/2023 03:47:23 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 86ffe924ac | Command tasked to agent : Assembly
25/08/2023 03:47:35 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 86ffe924ac | Command tasked to agent : StealToken
25/08/2023 03:47:57 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 86ffe924ac | Command tasked to agent : Ls
25/08/2023 03:49:37 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 86ffe924ac | Command tasked to agent : Powershell
25/08/2023 03:50:07 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 86ffe924ac | Command tasked to agent : RevertSelf
25/08/2023 03:50:17 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 86ffe924ac | Command tasked to agent : Powershell
25/08/2023 03:50:31 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 86ffe924ac | Command tasked to agent : Powershell
25/08/2023 03:50:51 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 86ffe924ac | Command tasked to agent : Exit
25/08/2023 03:51:01 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 7f0676fe10 | Command tasked to agent : Script
25/08/2023 03:53:37 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 7f0676fe10 | Command tasked to agent : PowershellImport
25/08/2023 03:53:48 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 7f0676fe10 | Command tasked to agent : Powershell
25/08/2023 03:54:47 | Info | User | Fropops-def0454e-3aaa-462d-a68d-12a27d1ca85b | 7f0676fe10 | Command tasked to agent : Assembly
